Date	Day	Cases	Deaths	Recovered	Severe	Suspected	CloseContact	UnderObservation	NoLongerObserved	CurrentlyConfirmed
20191231	0	27	0	NA	NA	NA	NA	NA	NA	NA
20200102	2	41	0	NA	NA	NA	NA	NA	NA	NA
20200119	19	214	3	NA	NA	NA	NA	NA	NA	NA
20200120	20	291	6	NA	NA	54	1739	922	817	NA
20200121	21	440	9	NA	88	NA	2197	1394	765	NA
20200122	22	571	17	NA	95	393	5897	4928	969	NA
20200123	23	830	25	34	177	1072	9507	8420	1087	NA
20200124	24	1287	41	38	237	1965	15197	13967	1230	NA
20200125	25	1975	56	49	324	2684	23431	21556	325	NA
20200126	26	2744	80	51	461	5794	32799	30453	583	NA
20200127	27	4515	106	60	976	6973	47833	44132	914	NA
20200128	28	5974	132	103	1239	9239	65537	59990	1604	NA
20200129	29	7711	170	124	1370	12167	88693	81947	2364	NA
20200130	30	9692	213	171	1527	15238	113579	102427	4201	NA
20200131	31	11791	259	243	1795	17988	136987	118478	6509	NA
20200201	32	14380	304	328	2110	19544	163844	137594	8044	NA
20200202	33	17205	361	475	2296	21558	189583	152700	10055	NA
20200203	34	20438	425	632	2788	23214	221015	171329	12755	NA
20200204	35	24324	490	892	3219	23260	252154	185555	18457	NA
20200205	36	28018	563	1153	3859	24702	282813	186354	96459	26302
20200206	37	31161	636	1540	4821	26359	314028	186045	127983	28985
20200207	38	34546	722	2050	6101	27657	345498	189660	155838	31774
20200208	39	37198	811	2649	6188	28942	371905	188183	183722	33738
20200209	40	40171	908	3281	6484	23589	399487	187518	211969	35982
20200210	41	42638	1016	3996	7333	21675	428438	187728	NA	37626
20200211	42	44653	1113	4740	8204	16067	451462	185037	NA	38800
20200212	43	59804	1367	5911	8030	13435	471531	181386	NA	52526
20200213	44	63851	1380	6723	10204	10109	493067	177894	NA	55748
20200214	45	66492	1523	8096	11053	8969	513183	169039	NA	56873
20200215	46	68500	1665	9419	11272	8228	529418	158764	NA	57416
20200216	47	70548	1770	10844	10644	7264	546016	150539	NA	57934
20200217	48	72436	1868	12552	11741	6242	560901	141552	NA	58016
20200218	49	74185	2004	14376	11977	5248	574418	135881	NA	57805
20200219	50	75002	2118	16157	11864	4922	589163	126363	NA	56303
20200220	51	75891	2236	18266	11633	5206	606037	120302	NA	54965
20200221	52	76288	2345	20659	11477	5365	618915	113564	NA	53284
20200222	53	76936	2442	22888	10968	4148	628517	106089	NA	51606
