Date	Day	Cases	Deaths	Recovered	Severe	Suspected	CurrentlyConfirmed
20191231	0	27	0	NA	NA	NA	NA
20200102	2	41	0	NA	NA	NA	NA
20200110	10	41	1	2	7	NA	NA
20200111	11	41	1	6	7	NA	NA
20200112	12	41	1	7	6	NA	NA
20200113	13	41	1	7	6	NA	NA
20200114	14	41	1	7	6	NA	NA
20200115	15	41	2	12	5	NA	NA
20200116	16	45	2	15	5	NA	NA
20200117	17	62	2	19	8	NA	NA
20200118	18	121	3	24	35	NA	NA
20200119	19	198	3	25	44	NA	NA
20200120	20	258	6	25	63	NA	NA
20200121	21	363	9	28	NA	NA	NA
20200122	22	425	17	28	NA	NA	NA
20200123	23	495	23	31	NA	NA	NA
20200124	24	572	38	32	NA	NA	NA
20200125	25	618	45	40	NA	NA	NA
20200126	26	698	63	42	192	NA	NA
20200127	27	1590	85	NA	NA	NA	NA
20200128	28	1905	104	NA	NA	NA	NA
20200129	29	2261	129	NA	NA	NA	NA
20200130	30	2639	159	NA	NA	NA	NA
20200131	31	3215	192	NA	NA	NA	NA
20200201	32	4109	224	NA	NA	NA	NA
20200202	33	5142	265	NA	NA	NA	NA
20200203	34	6384	313	NA	NA	NA	NA
20200204	35	8351	362	NA	NA	NA	NA
20200205	36	10117	414	NA	NA	NA	NA
20200206	37	11618	478	NA	NA	NA	NA
20200207	38	13603	545	NA	NA	NA	NA
20200208	39	14982	608	NA	NA	NA	NA
20200209	40	16902	681	NA	NA	NA	NA
20200210	41	18454	748	NA	NA	NA	NA
20200211	42	19558	820	NA	NA	NA	NA
20200212	43	32081	928	NA	NA	NA	NA
20200213	44	35991	1016	2016	7492	2585	32959
20200214	45	37914	1123	2502	8335	2265	34289
20200215	46	39462	1233	2915	8530	2168	35314
20200216	47	41152	1309	3458	8056	1971	36385
20200217	48	42752	1381	4219	9222	1799	37152
20200218	49	44412	1497	4895	9562	1649	38020
20200219	50	45027	1585	5448	9689	1940	37994
20200220	51	45346	1684	6214	9628	2820	37448
20200221	52	45660	1774	7206	9555	3414	36680
20200222	53	46201	1856	8171	9228	2382	36174
20200223	54	46607	1987	8946	8329	1877	35674
20200224	55	47071	2043	10337	7647	1529	34961
20200225	56	47441	2085	11793	7355	1447	33563
20200226	57	47824	2104	13328	7049	1459	32392
20200227	58	48137	2132	15826	6775	1488	30179
20200228	59	48557	2169	17552	6585	788	28836
20200229	60	49122	2195	19227	6393	393	27700
20200301	61	49315	2227	21185	6225	340	25903
